time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;method;process time
2023-06-22 20:05:46;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;LeaveOneOut;87755.999370255
2023-06-22 20:06:14;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;Individual;17494.472510083
2023-06-22 20:07:16;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;Individual;17785.538821234
2023-06-22 20:07:29;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;GTG-Shapley;107345.083156509
2023-06-22 20:08:10;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;GTG-Shapley;112268.800427821
2023-06-22 20:08:14;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;Individual;17632.856675482
2023-06-22 20:09:34;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;Individual;17423.937141081
2023-06-22 20:09:40;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;LeaveOneOut;89382.593048509
2023-06-22 20:09:44;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;LeaveOneOut;88551.531607861
2023-06-22 20:11:45;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;GTG-Shapley;122979.25787611
2023-06-22 20:12:13;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;LeaveOneOut;90595.506003027
2023-06-22 20:12:38;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;LeaveOneOut;90514.047499114
2023-06-22 20:13:41;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;GTG-Shapley;113716.950288708
2023-06-22 20:16:59;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;GTG-Shapley;96093.361003159
2023-06-22 20:17:19;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;GTG-Shapley;85128.623803686
